feature,coef,ci_lo,ci_hi,significant,ols_coef,ols_ci_lo,ols_ci_hi,ols_p,outcome,is_aspect,gbm_gain_share,label
sent_cleanliness,0.6797415499654408,0.458980095292565,0.945323589408445,True,0.7790577610189218,0.556438451814483,1.0016770702233606,6.938935806193451e-12,rating,True,0.14422458952672607,Cleanliness - sentiment
talk_cleanliness,0.21641552892268556,0.05569371114048796,0.3850272428177911,True,0.24442416483007257,0.0880132658707688,0.40083506378937633,0.0021924255733245072,rating,True,0.01606164302743475,Cleanliness - how often mentioned
sent_location,0.2755301796065191,0.06459459101882337,0.455231086886806,True,0.19909600648565617,0.0005326188799373577,0.39765939409137496,0.04938862770720958,rating,True,0.026071690813725425,Location - sentiment
talk_location,-0.029726464265491567,-0.20599620537236052,0.17020642317533882,False,-0.1693511165174999,-0.36784961699142416,0.029147383956424355,0.09449194493362,rating,True,0.005683670297524956,Location - how often mentioned
sent_host_communication,0.4031940474623551,0.2262321214164398,0.5784591825642519,True,0.4214009018568998,0.21978378436003523,0.6230180193537644,4.193889780387969e-05,rating,True,0.07106163163476212,Host communication - sentiment
talk_host_communication,0.38181099108164335,0.20999769133111387,0.5483272325651353,True,0.3594874088668456,0.18252023813307905,0.5364545796006122,6.850194189390247e-05,rating,True,0.029528383063954146,Host communication - how often mentioned
sent_checkin,0.19847413266862818,0.015157806149511203,0.3621582166410036,True,0.16534765506726967,-0.023797139007096513,0.35449244914163586,0.08664407087878086,rating,True,0.012169372789926103,Check-in / arrival - sentiment
talk_checkin,-0.1229478000006318,-0.31241429066032295,0.06638227503215222,False,-0.21932902979225855,-0.41003704137260005,-0.028621018211917038,0.024189194913889996,rating,True,0.010056016127993136,Check-in / arrival - how often mentioned
sent_value,0.137384383341601,-0.01345877045376896,0.2726556631788579,False,0.17666345937098127,0.014439802880453156,0.3388871158615094,0.03280811294255461,rating,True,0.006268856353990767,Value for money - sentiment
talk_value,-0.5638717396767724,-0.7688903333957747,-0.3746577975789124,True,-0.624154296039749,-0.8255223456331089,-0.42278624644638924,1.2395304016798908e-09,rating,True,0.08424010201724765,Value for money - how often mentioned
sent_accuracy,0.21481048673067996,0.050358013631278294,0.37690456974062225,True,0.11790658589936442,-0.048404791971449423,0.2842179637701783,0.16467527530234582,rating,True,0.016349846225522838,Accuracy vs listing - sentiment
talk_accuracy,-0.08216202278840645,-0.27442291594854007,0.11210502874376836,False,0.03548916944451008,-0.15542624264974136,0.22640458153876153,0.7156065870404046,rating,True,0.011455534103492175,Accuracy vs listing - how often mentioned
sent_noise,0.25088292012317026,0.09286028248217751,0.439643361497399,True,0.23241238965818178,0.05720054315987122,0.40762423615649235,0.009327166152143575,rating,True,0.030871553040120993,Noise / disturbance - sentiment
talk_noise,-0.3180929434716516,-0.5415755305480962,-0.13123673801581762,True,-0.3583205387501067,-0.5492672883844628,-0.1673737891157506,0.0002351027468022083,rating,True,0.03286538909510475,Noise / disturbance - how often mentioned
sent_space_comfort,0.9240746202417539,0.6956444784204312,1.1080952507883637,True,0.9270461586775018,0.6872127661223768,1.1668795512326269,3.5637980911730754e-14,rating,True,0.3491012975481219,Space / comfort - sentiment
talk_space_comfort,0.3715670517418492,0.20437847740722762,0.5577713369914808,True,0.4609077241499602,0.2859223359418876,0.6358931123580327,2.4366985597034587e-07,rating,True,0.025550841355824385,Space / comfort - how often mentioned
log_accommodates,-0.2175359244147235,-0.4015528096092597,-0.02996826994615279,True,-0.40880212739514166,-0.6635441560187392,-0.15406009877154409,0.0016592250938520655,rating,False,0.013061004506618191,Capacity (log)
bedrooms,-0.1901673009316556,-0.3633820007639304,-0.0014271737179716345,True,-0.27255058400694077,-0.5011766273993143,-0.04392454061456724,0.019464155179294146,rating,False,0.0013467873079892807,Bedrooms
log_reviews,0.04273398061929422,-0.09189591324920877,0.19547206314186122,False,0.01130640401492089,-0.13890099752359011,0.1615138055534319,0.8827134567600317,rating,False,0.02071353767721479,Review count (log)
host_tenure_years,-0.08770126002912176,-0.24238044932911407,0.07094801751575473,False,-0.058043871188024454,-0.22251137886141117,0.10642363648536227,0.489119170471644,rating,False,0.013152417744145061,Host tenure (years)
n_amenities,0.4519670356189766,0.29802162274103,0.5982165816235719,True,0.4401464180668013,0.2836868292345257,0.596606006899077,3.513687045314233e-08,rating,False,0.029757822424950328,Amenities listed
min_nights,0.07972596821139338,-0.032734018678337064,0.21326642003511445,False,0.11123968393566697,-0.027364146460100408,0.24984351433143434,0.11571556233817885,rating,False,0.007422546170194678,Minimum nights
room_Private room,-0.09003493499018189,-0.26438933119415137,0.08169146449528164,False,-0.10952012603759453,-0.3181561816951627,0.09911592961997362,0.3035494984832141,rating,False,0.0019441714341579845,Room type: private room
room_Shared room,0.1919000118631322,0.023377603714355967,0.3530775191016937,True,0.18665686254822145,-0.005679195317410346,0.37899292041385324,0.05715922935718057,rating,False,0.0,Room type: shared room
log_price,0.5681942312517044,0.37126603478523945,0.764700016935659,True,0.9475017436673987,0.6610245046810729,1.2339789826537246,9.025561748597166e-11,rating,False,0.033992860191203074,Nightly price (log)
area_Beacon Hill,0.06121227547025851,-0.10747327810458142,0.21254745765584218,False,0.0899117235346088,-0.08067899408235482,0.2605024411515724,0.3015942187960273,rating,False,0.0,Area: Beacon Hill
area_Capitol Hill,-0.11303520063312619,-0.26132563423742844,0.0411681843931885,False,-0.06871938037484454,-0.3076600579908425,0.17022129724115345,0.5729678589335687,rating,False,0.0006352956019304775,Area: Capitol Hill
area_Cascade,-0.050825579016095,-0.25941669043711124,0.14872437245018374,False,-0.06493134960022945,-0.27085977073809303,0.14099707153763413,0.5365774435502806,rating,False,0.0,Area: Cascade
area_Central Area,0.07633332258041915,-0.06578167127624873,0.20784249500988095,False,0.07454431302085296,-0.13234653876400362,0.2814351648057095,0.4800702343118731,rating,False,0.0001719632760997359,Area: Central Area
area_Delridge,0.1190455626580956,-0.005306263580563604,0.23545309951048252,False,0.14066531668283688,-0.0017616669780375904,0.28309230034371136,0.052901836863676985,rating,False,0.0,Area: Delridge
area_Downtown,0.048696490442884544,-0.1219795658880125,0.21637755053314583,False,0.05871918852005997,-0.22201180448001157,0.3394501815201315,0.6818378594829458,rating,False,0.0,Area: Downtown
area_Interbay,-0.011035419627101322,-0.05435825389023277,0.02833597277770868,False,0.015596294830123092,-0.05101800191759184,0.08221059157783803,0.646318102902601,rating,False,0.0,Area: Interbay
area_Lake City,0.08698296641150538,-0.13375136658331638,0.2865391156665951,False,0.07030589818864041,-0.12453375347343812,0.2651455498507189,0.47942170379448634,rating,False,0.0,Area: Lake City
area_Magnolia,-0.0754422890069157,-0.3040137027148613,0.12849753631991745,False,-0.03482366374174939,-0.2480504587980208,0.178403131314522,0.7488952643271413,rating,False,0.0,Area: Magnolia
area_Northgate,0.15222851043926836,0.04160577889846737,0.2808250555439917,True,0.13564016992558825,-0.019270919120524477,0.290551258971701,0.08613555754033832,rating,False,0.0,Area: Northgate
area_Other neighborhoods,-0.1925454948210801,-0.3316713023379417,-0.03131292599741084,True,-0.151048106186326,-0.4017330346842276,0.09963682231157564,0.2376186537380156,rating,False,0.006241176644024265,Area: Other neighborhoods
area_Queen Anne,0.08094425545417243,-0.05718393109618498,0.23015804950372656,False,0.0646465087381153,-0.12842095659687414,0.25771397407310476,0.5116489391714313,rating,False,0.0,Area: Queen Anne
area_Rainier Valley,0.16805227738935877,0.030081710670654502,0.29984540837724916,True,0.12203048932272204,-0.05609921885588259,0.30016019750132666,0.17936803465725226,rating,False,0.0,Area: Rainier Valley
area_Seward Park,0.04626105110426852,-0.08223588362153542,0.17125168210119127,False,0.07704768497228293,-0.07012056933033387,0.22421593927489972,0.304840152832177,rating,False,0.0,Area: Seward Park
area_University District,-0.11309480291858778,-0.34224585642945093,0.12745685607922244,False,-0.18644397339733165,-0.42530192820024054,0.05241398140557724,0.1260469891379185,rating,False,0.0,Area: University District
area_West Seattle,0.1293295259317822,-0.0325073046712882,0.2715563869988861,False,0.15404363317950043,-0.03034713815853529,0.33843440451753615,0.10154858960463889,rating,False,0.0,Area: West Seattle
sent_cleanliness,-0.008519883951423755,-0.025454529362939734,0.011559606603438705,False,-0.005932148324165628,-0.023660650359255325,0.011796353710924067,0.51193664843415,price_premium,True,0.03461128446728707,Cleanliness - sentiment
talk_cleanliness,-0.012935036105709632,-0.02924153883810216,0.002272329465484213,False,-0.012182981034577472,-0.027940282730277852,0.0035743206611229088,0.12967773792320106,price_premium,True,0.04908109766475611,Cleanliness - how often mentioned
sent_location,0.02476575849181006,0.005095444221688632,0.041891425955704796,True,0.019348721277699023,0.001666150678928887,0.037031291876469155,0.03198142143249857,price_premium,True,0.05526221190165151,Location - sentiment
talk_location,0.055720868073079674,0.03662797404142176,0.07325921178067804,True,0.05156114891332809,0.03476045566054871,0.06836184216610747,1.79766116798593e-09,price_premium,True,0.06278737252540982,Location - how often mentioned
sent_host_communication,-0.006592541684953687,-0.025018562505699407,0.013576104240879069,False,0.0012485908306192955,-0.01750241359326945,0.01999959525450804,0.8961629652281107,price_premium,True,0.03646620210374295,Host communication - sentiment
talk_host_communication,0.013798305923757144,-0.004869228594937728,0.03102826555978542,False,0.011961014629426073,-0.0043657554624710465,0.028287784721323192,0.1510386649949616,price_premium,True,0.0367383328504316,Host communication - how often mentioned
sent_checkin,0.016325780712008665,0.0011418159447737785,0.03367108428824979,True,0.010238228325911597,-0.005615156878800801,0.026091613530623996,0.205599518473502,price_premium,True,0.058042165817230505,Check-in / arrival - sentiment
talk_checkin,0.005934632653015148,-0.011967084982594032,0.02207551521177007,False,0.004230863457564831,-0.01194379059042874,0.020405517505558402,0.6081787132747838,price_premium,True,0.031578748882351786,Check-in / arrival - how often mentioned
