term,z,n_lower,n_upper
cottage,-25.555362806799092,241.0,1585.0
beautiful,-24.10770074922356,1354.0,3309.0
home,-22.433986274567687,3489.0,6282.0
wonderful,-21.868810976372387,1849.0,3854.0
studio,-17.60601753118346,574.0,1529.0
loved,-15.077041667565874,1285.0,2431.0
lovely,-14.747622317470348,1429.0,2611.0
amazing,-14.526614157513462,1163.0,2214.0
fresh,-13.367520948558521,286.0,808.0
welcome,-13.363037318484812,735.0,1509.0
decorated,-13.316404940378902,319.0,860.0
beautifully,-12.843025078352749,84.0,437.0
absolutely,-12.511304129050183,538.0,1163.0
wine,-12.496207377142186,197.0,617.0
coffee,-12.270621730078895,1497.0,2514.0
appointed,-11.979755862386885,181.0,567.0
garden,-11.76409900882491,373.0,870.0
touches,-11.202339479660944,127.0,442.0
fruit,-11.180089342601498,100.0,394.0
snacks,-11.053282944237665,166.0,503.0
perfect,-10.837807585684615,3104.0,4495.0
thoughtful,-10.77190517440063,184.0,522.0
return,-10.655221482061986,294.0,695.0
delicious,-10.569619087399289,178.0,504.0
recommendations,-10.551859769084253,383.0,828.0
feel,-10.340877821039756,1448.0,2305.0
modern,-10.152373129510684,231.0,574.0
stocked,-9.872682038297318,481.0,942.0
breakfast,-9.685401685746347,590.0,1090.0
thought,-9.526090259181373,248.0,576.0
welcoming,-9.514310127592308,1342.0,2106.0
bottle,-9.500634186288904,107.0,345.0
fabulous,-9.485499945909751,150.0,417.0
best,-9.45140341571724,833.0,1417.0
immaculate,-9.31267708288492,76.0,285.0
baked,-9.199354758824917,22.0,196.0
gorgeous,-9.18646415114356,186.0,465.0
cozy,-9.078659148344553,1367.0,2109.0
private,-9.035392768087508,979.0,1591.0
chocolate,-8.937990876362733,76.0,273.0
oasis,-8.653499948790767,57.0,231.0
better,-8.630817048391803,784.0,1304.0
felt,-8.610715313775872,1183.0,1836.0
muffins,-8.586016935736218,33.0,188.0
local,-8.584955998162156,553.0,983.0
incredible,-8.571838923550784,141.0,371.0
truly,-8.513507652427972,216.0,488.0
designed,-8.458205510023319,33.0,184.0
fantastic,-8.42255477938407,924.0,1481.0
delightful,-8.302507413603108,111.0,313.0
amanda's,-8.100455152200087,8.0,168.0
enjoy,-8.069116247291852,354.0,677.0
peaceful,-8.06520961291697,214.0,469.0
spotless,-7.910949101264877,125.0,324.0
treats,-7.756273080321017,38.0,172.0
goodies,-7.693596344933762,32.0,160.0
incredibly,-7.6912238340732975,277.0,550.0
basket,-7.687373757593251,26.0,150.0
possibly,-7.676997955258644,61.0,210.0
suite,-7.630965091233029,242.0,496.0
milk,-7.597379218180598,30.0,154.0
design,-7.594664306538449,33.0,159.0
inviting,-7.513279031896148,163.0,372.0
experience,-7.491622121628755,2415.0,3321.0
exceeded,-7.457645928726538,50.0,185.0
can't,-7.3768981295000975,351.0,645.0
relaxing,-7.336784257933906,218.0,450.0
suggestions,-7.295119816656047,321.0,599.0
expectations,-7.288007175578149,126.0,307.0
flowers,-7.2525628328902165,89.0,246.0
moment,-7.251143920510063,60.0,197.0
special,-7.208450428149077,105.0,271.0
backyard,-7.189313178009751,186.0,397.0
details,-7.174529493166887,153.0,346.0
fireplace,-7.073037623830287,31.0,142.0
treat,-7.042544102470104,69.0,207.0
john's,-7.031499650647815,11.0,114.0
brownies,-6.989143120333411,3.0,190.0
gem,-6.970949363804556,63.0,195.0
greeted,-6.937865403337515,196.0,404.0
provided,-6.884651050406358,1139.0,1671.0
we'll,-6.812275894893714,87.0,231.0
welcomed,-6.798182343062975,287.0,532.0
hospitality,-6.787680960962213,208.0,417.0
homemade,-6.758732441303935,25.0,124.0
we've,-6.7549383670160426,40.0,150.0
favorite,-6.749890397449776,162.0,347.0
fridge,-6.743447774265173,340.0,605.0
guesthouse,-6.680930310837503,3.0,161.0
comfortable,-6.604553858654765,5082.0,6471.0
i've,-6.598378378197233,179.0,368.0
bread,-6.59504064922406,41.0,148.0
making,-6.520326940601886,393.0,670.0
longer,-6.492121298791401,209.0,409.0
attention,-6.419518392204204,97.0,237.0
wow,-6.408187901828974,28.0,121.0
chickens,-6.40101232009084,13.0,97.0
heated,-6.382805203830558,62.0,179.0
impeccably,-6.344196222666571,10.0,93.0
cookies,-6.341051373290507,34.0,130.0
yogurt,-6.320515866627136,16.0,99.0
deck,-6.28735182175172,228.0,430.0
thoughtfully,-6.250657769053181,30.0,121.0
neighborhood,-6.232309983236241,3709.0,4784.0
retreat,-6.225113068037842,77.0,200.0
pleasure,-6.150965319980752,151.0,313.0
providing,-6.06378267543114,134.0,285.0
forward,-6.051119947154922,193.0,372.0
terrific,-6.0378003865941965,120.0,263.0
immaculately,-6.028835780867127,23.0,104.0
excellent,-5.982559292488616,1027.0,1475.0
maps,-5.963505842100936,118.0,258.0
toiletries,-5.9577444159163075,124.0,267.0
gracious,-5.941963656085989,364.0,608.0
scones,-5.859614240868552,13.0,84.0
gave,-5.8444112353408615,890.0,1293.0
wife,-5.833737502759876,266.0,469.0
eggs,-5.761360449399552,53.0,150.0
equipped,-5.634520140595831,371.0,606.0
hideaway,-5.576914456859712,8.0,72.0
selection,-5.5589263066817445,43.0,129.0
queen,-5.555449043620287,246.0,432.0
quiet,-5.552458472613244,2461.0,3215.0
soaking,-5.5446219475451874,9.0,72.0
teas,-5.535334321103315,19.0,87.0
couldn't,-5.52768777362322,492.0,763.0
dream,-5.445730619799546,24.0,94.0
created,-5.432713889715285,23.0,92.0
including,-5.431683764967606,358.0,581.0
pastries,-5.382378989691962,31.0,105.0
tastefully,-5.3675623257426075,63.0,158.0
heartbeat,-5.344419291066031,74.0,175.0
notch,-5.32641131253945,19.0,83.0
gardens,-5.324367561398164,44.0,126.0
future,-5.308711754930998,319.0,524.0
visiting,-5.3057984361414094,555.0,836.0
we're,-5.2902298771325285,108.0,226.0
regret,-5.278003752395098,38.0,115.0
nadine's,-5.24975949743716,14.0,73.0
amenities,-5.245523596211048,636.0,938.0
quality,-5.187357808027862,99.0,210.0
waiting,-5.157338745295877,149.0,283.0
list,-5.148674598634213,134.0,261.0
brewery,-5.142828424801789,14.0,71.0
views,-5.133034399091241,457.0,701.0
bagels,-5.125659519012311,9.0,63.0
extremely,-5.055693651206675,808.0,1148.0
privacy,-5.053534685304673,451.0,690.0
wonderfully,-5.050773039543442,64.0,153.0
relax,-5.020030396151562,162.0,298.0
andrea's,-5.017159459559859,3.0,65.0
impeccable,-4.996250785523681,12.0,65.0
information,-4.989725770838536,479.0,724.0
exceptional,-4.9213160727332355,39.0,110.0
stunning,-4.906827200099684,52.0,131.0
plate,-4.871071987759799,3.0,60.0
card,-4.869619948514877,33.0,99.0
spotlessly,-4.830812051158474,34.0,100.0
wish,-4.826980703847805,240.0,401.0
charming,-4.820697129360863,412.0,630.0
granola,-4.8206431223065795,19.0,74.0
outstanding,-4.781447375692892,51.0,127.0
wait,-4.779766403253528,130.0,246.0
fully,-4.769354818311686,199.0,343.0
chocolates,-4.754384401931426,36.0,102.0
need,-4.74726290262679,1418.0,1887.0
comfort,-4.722143313293521,90.0,186.0
cream,-4.696674138639624,52.0,127.0
yummy,-4.676260105650179,46.0,117.0
shawn's,-4.634421629577496,4.0,50.0
superb,-4.626124197834798,56.0,132.0
craftsman,-4.5861701167456355,9.0,53.0
space,-4.571182538540791,2794.0,3532.0
robes,-4.5568207724630545,8.0,51.0
goods,-4.54585476721262,13.0,59.0
residential,-4.544766474207644,146.0,263.0
imagine,-4.5432369274975,57.0,132.0
happier,-4.542220188276121,34.0,95.0
warm,-4.538704472224783,876.0,1207.0
away,-4.533827072208677,1606.0,2102.0
banana,-4.527058209797712,6.0,48.0
orange,-4.510219541530743,11.0,55.0
tips,-4.488460625708628,264.0,423.0
spectacular,-4.467344263972585,91.0,182.0
detached,-4.463869330804333,3.0,48.0
book,-4.463252182542358,360.0,549.0
sean's,-4.45884025998623,4.0,46.0
setting,-4.426455049646193,61.0,136.0
hotel,-4.4242312431503,488.0,713.0
dinner,-4.423618744700939,212.0,351.0
stars,-4.412520969871789,71.0,151.0
ideas,-4.4086401135250055,44.0,109.0
places,-4.407387110543265,980.0,1329.0
snack,-4.404487705531052,20.0,69.0
comforts,-4.398314595288525,41.0,104.0
knowledge,-4.398314595288525,41.0,104.0
rooftop,-4.39526259898294,103.0,198.0
jeff's,-4.378681187080751,8.0,48.0
justice,-4.371373983406687,52.0,121.0
luxurious,-4.368115330237682,37.0,97.0
skylights,-4.365269261861983,4.0,44.0
delight,-4.360717352639135,31.0,87.0
accommodations,-4.3435101034805,290.0,453.0
sauna,-4.337445727560425,12.0,54.0
area,-4.331422692218675,2385.0,3024.0
teeny,-4.32899344241127,1.0,83.0
personal,-4.305634853595887,131.0,236.0
madrona,-4.300300581976231,10.0,50.0
happily,-4.2993238398837486,58.0,129.0
absolute,-4.2802003437065865,33.0,89.0
renovated,-4.2802003437065865,33.0,89.0
advice,-4.279918276100799,150.0,262.0
ensure,-4.271009195601671,38.0,97.0
look,-4.235643657690337,330.0,502.0
generous,-4.230716733000347,148.0,258.0
filled,-4.188489682594535,80.0,160.0
sweet,-4.178546493196911,401.0,592.0
mark's,-4.1704600267330285,14.0,55.0
french,-4.162185830405318,41.0,100.0
tranquil,-4.147353675117445,9.0,46.0
anniversary,-4.13621108139922,12.0,51.0
plush,-4.12340767914699,6.0,41.0
magazines,-4.121944568329724,19.0,63.0
beverages,-4.092343591155427,21.0,66.0
stylish,-4.092135406754513,43.0,102.0
michelle's,-4.084922010607385,2.0,43.0
highest,-4.0732980365937355,5.0,39.0
birthday,-4.063934481484316,29.0,79.0
hilltop,-4.049857136765544,2.0,42.0
juice,-4.039167951015113,36.0,90.0
wished,-4.0266957989782854,38.0,93.0
beauty,-4.013659050089319,13.0,51.0
beer,-4.007608315486794,116.0,208.0
nicely,-3.989815855401602,281.0,430.0
phinney,-3.980582240505605,31.0,81.0
lush,-3.9781249871887217,15.0,54.0
cheese,-3.9758408284873146,22.0,66.0
greenlake,-3.971150040273142,70.0,141.0
cats,-3.9643679312965467,131.0,228.0
guide,-3.931284711001353,78.0,152.0
freshly,-3.9129318422654253,19.0,60.0
tub,-3.901186000681434,202.0,323.0
beginning,-3.898038029717744,47.0,105.0
homes,-3.87638394840744,44.0,100.0
restaurants,-3.8724617469314073,2453.0,3068.0
sad,-3.8412672618396133,19.0,59.0
books,-3.8387261263499144,136.0,232.0
tour,-3.8273474197653377,202.0,321.0
oatmeal,-3.820331016109896,5.0,35.0
elegant,-3.8133018502561056,10.0,43.0
organic,-3.8024205204202604,50.0,108.0
visits,-3.7869217077071315,43.0,97.0
decor,-3.762771612359201,163.0,267.0
balance,-3.756840933470036,11.0,44.0
trees,-3.741847461751621,60.0,122.0
thanksgiving,-3.7412692392298537,24.0,66.0
breathtaking,-3.729166653442439,29.0,74.0
warmly,-3.711646921922296,51.0,108.0
enjoying,-3.7107442826573576,53.0,111.0
keurig,-3.6975602890757533,8.0,38.0
west,-3.6917937724197865,204.0,320.0
volunteer,-3.6665786673209113,41.0,92.0
fruits,-3.643823412143451,20.0,58.0
sheldon's,-3.6415200900508498,13.0,46.0
mountains,-3.637366056041161,40.0,90.0
experiences,-3.6301102123473297,62.0,123.0
nestled,-3.6272857709100053,16.0,51.0
patrick's,-3.621493632397629,12.0,44.0
boat,-3.6054329611287583,15.0,49.0
pond,-3.59782680064472,7.0,35.0
recommending,-3.576859698458697,31.0,75.0
pristine,-3.562831082733654,13.0,45.0
outdoor,-3.5523568824817224,88.0,159.0
outfitted,-3.5497140787875443,16.0,50.0
brand,-3.5294011890098083,49.0,102.0
nicest,-3.5266007341869003,34.0,79.0
products,-3.5185657775702444,21.0,58.0
friends,-3.51694572329467,547.0,751.0
activities,-3.5128025974364587,105.0,182.0
maintained,-3.5053173554338417,108.0,186.0
jacuzzi,-3.5013976856027025,10.0,39.0
die,-3.5013976856027025,10.0,39.0
dining,-3.497940736673543,192.0,299.0
tasteful,-3.4925604105700083,20.0,56.0
simply,-3.4916642366438997,86.0,155.0
newly,-3.4905473998355903,28.0,69.0
chatting,-3.4905473998355903,28.0,69.0
adorable,-3.4854337639345605,235.0,355.0
start,-3.481306518817447,131.0,217.0
travel,-3.478347076802382,280.0,413.0
attractive,-3.4776933491265374,25.0,64.0
enjoyable,-3.4717321116751676,191.0,297.0
hesitation,-3.46675641300727,32.0,75.0
extended,-3.4383377306237013,52.0,105.0
binder,-3.436037381840103,44.0,93.0
we'd,-3.429158448879146,140.0,228.0
croissants,-3.4189343431202195,10.0,38.0
bakery,-3.4088330029480196,95.0,166.0
orca,-3.3981559902962664,9.0,36.0
creating,-3.3981559902962664,9.0,36.0
attentive,-3.394375239051118,191.0,295.0
warmth,-3.3883401935773105,19.0,53.0
cereal,-3.3782595186990045,12.0,41.0
breweries,-3.365278033096989,31.0,72.0
cabin,-3.3601844205728026,133.0,217.0
complimentary,-3.358213051212623,26.0,64.0
appreciated,-3.353497932695864,575.0,779.0
washington,-3.3510892977627464,185.0,286.0
parents,-3.3485348840992875,106.0,180.0
interior,-3.3385386300134674,45.0,93.0
upscale,-3.3350816126043488,17.0,49.0
left,-3.33263201167273,956.0,1243.0
style,-3.3240811049454946,84.0,149.0
shop,-3.322198384952009,197.0,301.0
personalized,-3.31309769269424,9.0,35.0
miss,-3.312204028323322,70.0,129.0
healthy,-3.3088105012505573,16.0,47.0
amazingly,-3.3065214531350606,46.0,94.0
impressed,-3.2959277757491074,66.0,123.0
watching,-3.2794677434485044,69.0,127.0
memorable,-3.2738004333466844,39.0,83.0
highlights,-3.2572369896992286,14.0,43.0
extras,-3.251636460510679,52.0,102.0
hesitate,-3.251589624891011,117.0,193.0
bath,-3.225258409698381,250.0,367.0
shops,-3.2131561485915126,952.0,1232.0
class,-3.2068234318366304,26.0,62.0
brilliant,-3.1987274820236506,18.0,49.0
bright,-3.172408179510932,161.0,250.0
introduced,-3.169733961514622,17.0,47.0
butter,-3.159438654102306,10.0,35.0
could've,-3.1409186344127558,16.0,45.0
thoroughly,-3.1344679705475538,136.0,216.0
kim's,-3.1189996942763325,12.0,38.0
spoiled,-3.1189996942763325,12.0,38.0
bowl,-3.1123369977424007,15.0,43.0
refrigerator,-3.1102190115736312,100.0,167.0
extra,-3.0867306420652456,392.0,542.0
offering,-3.078572105334497,47.0,92.0
organized,-3.0717851557652853,202.0,301.0
addition,-3.055006221395055,92.0,155.0
island,-3.043106076827329,28.0,63.0
umbrellas,-3.0286637817210993,12.0,37.0
items,-3.026860000202077,156.0,240.0
enjoyed,-3.0220948184180845,1826.0,2262.0
junction,-3.001717627610818,11.0,35.0
talk,-2.980765220809952,166.0,252.0
complete,-2.9674251884509824,108.0,175.0
celebrate,-2.9653001276542783,13.0,38.0
honeymoon,-2.9653001276542783,13.0,38.0
bakeries,-2.946727331266132,23.0,54.0
ridge,-2.946727331266132,23.0,54.0
darling,-2.936227370789832,12.0,36.0
trips,-2.930289294202173,64.0,114.0
high,-2.920764392015518,223.0,324.0
various,-2.918787061359667,62.0,111.0
morning,-2.912359166427197,772.0,1000.0
letter,-2.907656671434519,11.0,34.0
press,-2.8921490757657526,26.0,58.0
fortunate,-2.879685838175782,10.0,32.0
smart,-2.8754078711529543,21.0,50.0
champagne,-2.872437532061324,13.0,37.0
detailed,-2.85965459214408,149.0,227.0
drive,-2.854007259635756,478.0,640.0
arrival,-2.850170805454544,845.0,1085.0
sparkling,-2.8393301912892346,20.0,48.0
feels,-2.8271886496119047,132.0,204.0
hostess,-2.8259246756071943,214.0,310.0
abil,-2.819399313283431,0.0,251.0
cared,-2.8064017941312653,34.0,69.0
reading,-2.8029387329296167,72.0,123.0
taste,-2.800693242132151,45.0,85.0
path,-2.800693242132151,45.0,85.0
blown,-2.7813986125714942,10.0,31.0
spent,-2.773450125316861,316.0,437.0
ferry,-2.770456577543575,63.0,110.0
roof,-2.7682464592922407,79.0,132.0
beers,-2.7656034615260428,31.0,64.0
certainly,-2.75820616048089,195.0,284.0
tucked,-2.757190061515865,56.0,100.0
sure,-2.754349064001025,1084.0,1366.0
keyless,-2.740797018957593,22.0,50.0
drinks,-2.7357758179491674,116.0,181.0
getaway,-2.732120400223604,98.0,157.0
touch,-2.731643156299561,305.0,422.0
kitchenette,-2.7308991006667633,45.0,84.0
genuinely,-2.7284736758972867,26.0,56.0
giving,-2.7199620489939123,117.0,182.0
nicer,-2.7158887300110934,76.0,127.0
ravenna,-2.715380926581394,14.0,37.0
holidays,-2.712266437623055,11.0,32.0
magical,-2.712266437623055,11.0,32.0
returning,-2.706395442112276,71.0,120.0
tasty,-2.69956083931597,37.0,72.0
eat,-2.6991495103949674,495.0,655.0
care,-2.6920526157654865,254.0,357.0
intrusive,-2.6909197810551655,44.0,82.0
guidebook,-2.6802796442636407,13.0,35.0
bike,-2.6795131230774176,126.0,193.0
obvious,-2.662497128681389,20.0,46.0
borrow,-2.6553999455336865,15.0,38.0
effort,-2.654129366786947,50.0,90.0
troll,-2.645347628858428,12.0,33.0
awesome,-2.6247441943245344,1084.0,1359.0
furnished,-2.6182053983109395,227.0,321.0
unforgettable,-2.6106967024791556,11.0,31.0
availability,-2.6034732782474723,25.0,53.0
foods,-2.5915851986971563,68.0,114.0
gives,-2.589505610308225,45.0,82.0
offer,-2.586558370688726,185.0,267.0
strongly,-2.5674064205975937,41.0,76.0
escape,-2.565012098234047,22.0,48.0
carol's,-2.558202121554683,15.0,37.0
honestly,-2.545685228841346,54.0,94.0
amenity,-2.53960439496405,35.0,67.0
puget,-2.5310041615693812,52.0,91.0
added,-2.517377807348683,114.0,174.0
boyfriend,-2.5011831415359294,189.0,270.0
homey,-2.491708515240367,129.0,193.0
completely,-2.4915868840567255,175.0,252.0
kelly's,-2.487796270292719,18.0,41.0
inspiring,-2.4789045461109307,13.0,33.0
sunrise,-2.4789045461109307,13.0,33.0
sitting,-2.478205640242286,110.0,168.0
finish,-2.4750067603878385,22.0,47.0
hike,-2.47443609853968,26.0,53.0
view,-2.473088930712919,1266.0,1566.0
overlooking,-2.4598784807372494,47.0,83.0
available,-2.45245488865716,951.0,1192.0
beach,-2.448447835269176,245.0,339.0
fish,-2.4449124507895386,17.0,39.0
conversations,-2.444146768819037,58.0,98.0
kindness,-2.4358360499299803,19.0,42.0
greeting,-2.428910202737571,23.0,48.0
recommendation,-2.4166685172623326,46.0,81.0
pictures,-2.409974240604238,499.0,649.0
notes,-2.401196848639008,74.0,119.0
grill,-2.3991723359985953,30.0,58.0
pride,-2.3991406065328045,11.0,29.0
forget,-2.3876896080703873,42.0,75.0
listening,-2.374497248678645,13.0,32.0
knows,-2.3738491428754998,40.0,72.0
variety,-2.3727619199983208,45.0,79.0
stays,-2.372081062683564,61.0,101.0
pleasantly,-2.3711724933238036,33.0,62.0
date,-2.3605458403193835,38.0,69.0
travels,-2.36034759582387,48.0,83.0
provides,-2.3329307312107703,123.0,182.0
numerous,-2.328512521631593,39.0,70.0
knowledgeable,-2.3165543354926474,55.0,92.0
restaurant,-2.3034268723508706,270.0,366.0
kinds,-2.2990528028134314,26.0,51.0
secluded,-2.2990528028134314,26.0,51.0
arboretum,-2.2931152442315654,18.0,39.0
words,-2.290559782820759,22.0,45.0
hoped,-2.2884181667261676,48.0,82.0
imagined,-2.267455938421432,13.0,31.0
begin,-2.242039138109235,19.0,40.0
considerate,-2.237604044584209,92.0,140.0
visited,-2.2368660259777657,102.0,153.0
patio,-2.227028942323707,275.0,370.0
eateries,-2.2254897510001763,83.0,128.0
efficient,-2.194893666110649,69.0,109.0
forgotten,-2.1928789045576687,20.0,41.0
eric's,-2.1928789045576687,20.0,41.0
course,-2.1810964260791814,92.0,139.0
caring,-2.1579042687971834,53.0,87.0
comforting,-2.157655413563569,13.0,30.0
spices,-2.1572147089268845,32.0,58.0
collection,-2.155069159560186,37.0,65.0
kevin's,-2.1455313001402545,21.0,42.0
freemont,-2.143266491004561,30.0,55.0
impressive,-2.1426643617960943,17.0,36.0
genuine,-2.1426643617960943,17.0,36.0
telling,-2.1426643617960943,17.0,36.0
world,-2.1289970390630737,63.0,100.0
games,-2.1289970390630737,63.0,100.0
doubt,-2.12351204670826,38.0,66.0
surrounding,-2.122553681193199,150.0,212.0
info,-2.12082340004685,154.0,217.0
plan,-2.1103971964295916,199.0,273.0
phenomenal,-2.107045618309095,31.0,56.0
boats,-2.090669512934084,18.0,37.0
natural,-2.073707136977464,102.0,150.0
soaps,-2.0666219470337115,25.0,47.0
included,-2.0618984438666534,132.0,188.0
porch,-2.058130054601261,96.0,142.0
delighted,-2.055880491561999,23.0,44.0
supplied,-2.0467952302728514,70.0,108.0
cut,-2.0449620816114367,13.0,29.0
guides,-2.042833157290675,38.0,65.0
locals,-2.0407934440954967,19.0,38.0
fluffy,-2.040508140024303,28.0,51.0
recently,-2.0391785642506726,61.0,96.0
unwind,-2.0386220023019717,15.0,32.0
oriented,-2.0386220023019717,15.0,32.0
assortment,-2.0376578988564074,17.0,35.0
possible,-2.010623397200156,136.0,192.0
far,-1.998134276637783,430.0,551.0
lighting,-1.9945451887536418,48.0,78.0
busses,-1.9929080806862052,20.0,39.0
trails,-1.9919375595639734,37.0,63.0
pleased,-1.9891279960699753,130.0,184.0
farmer's,-1.9863557135100982,18.0,36.0
yoga,-1.9716302378144681,35.0,60.0
energy,-1.9716009106371502,46.0,75.0
separate,-1.9619097229395333,136.0,191.0
trendy,-1.9612945583482533,38.0,64.0
entire,-1.949337543411293,238.0,317.0
try,-1.9487784195689335,203.0,274.0
birds,-1.9372124842795844,19.0,37.0
shampoo,-1.9367290502840566,154.0,213.0
wood,-1.9313778856081973,39.0,65.0
exciting,-1.9292332881668104,13.0,28.0
personable,-1.921539422838804,45.0,73.0
union,-1.9138726220763589,132.0,185.0
gas,-1.9122623280863533,67.0,102.0
ask,-1.9089681337846418,216.0,289.0
won't,-1.8883660787423353,96.0,139.0
placed,-1.8867601215077978,35.0,59.0
ferries,-1.8798785423662956,18.0,35.0
walks,-1.8791788149989808,72.0,108.0
northwest,-1.8766020180091634,25.0,45.0
readily,-1.8708950559044784,53.0,83.0
someday,-1.8697151249658988,14.0,29.0
set,-1.8682157381935842,372.0,477.0
romantic,-1.8600169651174212,23.0,42.0
highlight,-1.8555906748090605,36.0,60.0
olympic,-1.8555906748090605,36.0,60.0
lunch,-1.8555906748090605,36.0,60.0
seriously,-1.8494527109327599,39.0,64.0
exceptionally,-1.8437861901079557,48.0,76.0
asked,-1.8394636717194495,337.0,434.0
mother,-1.8316704015820409,78.0,115.0
sights,-1.823342166403917,104.0,148.0
dryer,-1.8223131710588745,320.0,413.0
write,-1.8207534101298586,17.0,33.0
handy,-1.8119448714074848,101.0,144.0
boot,-1.8103165967402537,13.0,27.0
picturesque,-1.8103165967402537,13.0,27.0
year,-1.7940267103371552,167.0,226.0
mom,-1.7867817774530843,77.0,113.0
terrace,-1.7861732135977508,30.0,51.0
cafes,-1.7849174629128461,221.0,292.0
airy,-1.7674175845278786,48.0,75.0
sarah's,-1.7634410315997215,28.0,48.0
sunsets,-1.7596590391279894,16.0,31.0
coolest,-1.7596590391279894,16.0,31.0
shampoos,-1.7596590391279894,16.0,31.0
supplies,-1.7534882693825131,105.0,148.0
nan's,-1.7526094781541957,0.0,97.0
effortless,-1.7517772208912326,14.0,28.0
airstream,-1.7510854882931766,129.0,178.0
bustle,-1.7429319725053516,49.0,76.0
slippers,-1.7409296507746108,21.0,38.0
yard,-1.7382978929091195,199.0,264.0
groceries,-1.734151896625127,80.0,116.0
craig's,-1.7252928304416004,0.0,94.0
interested,-1.7239516264413735,53.0,81.0
english,-1.7237769456655316,19.0,35.0
bridge,-1.7193931598289298,32.0,53.0
guys,-1.7170439713531154,81.0,117.0
respite,-1.7086709246828826,17.0,32.0
neighborhoods,-1.7007681785368942,185.0,246.0
introduction,-1.6983412374970226,22.0,39.0
luxury,-1.6953739484380626,51.0,78.0
know,-1.6948908902233994,534.0,664.0
seating,-1.6938834255577861,30.0,50.0
drink,-1.6880880524483621,130.0,178.0
hustle,-1.6864875654181588,45.0,70.0
ample,-1.6834907686116023,110.0,153.0
informative,-1.6792218712156253,87.0,124.0
bonus,-1.6720229358137322,188.0,249.0
siena's,-1.6693193617882889,0.0,88.0
bainbridge,-1.660102394923886,18.0,33.0
sign,-1.65741225915382,23.0,40.0
assistant,-1.643884883745956,16.0,30.0
entry,-1.6430177388107512,113.0,156.0
carriage,-1.635049942555297,21.0,37.0
preparing,-1.6306850916540352,14.0,27.0
greet,-1.6306604751323581,75.0,108.0
seattle's,-1.6288079626947969,110.0,152.0
peace,-1.6284600078861917,32.0,52.0
lounge,-1.6282447315385482,41.0,64.0
brunch,-1.6261302363897634,35.0,56.0
reached,-1.6261302363897634,35.0,56.0
entrance,-1.6234243547718656,250.0,323.0
features,-1.6066632012279733,45.0,69.0
makes,-1.6010922492173392,248.0,320.0
record,-1.5971659047305276,33.0,53.0
quarters,-1.5934224421537166,22.0,38.0
hal's,-1.581650219159535,0.0,79.0
mile,-1.580444641119167,122.0,166.0
golden,-1.5801088799241805,25.0,42.0
useful,-1.5779206149969862,118.0,161.0
tell,-1.57445844627007,131.0,177.0
gillian's,-1.5716074137957556,0.0,78.0
rochelle's,-1.5716074137957556,0.0,78.0
knowledgable,-1.5695030800615324,20.0,35.0
piece,-1.5695030800615324,20.0,35.0
linens,-1.5635378059200418,145.0,194.0
transportation,-1.5562293603105097,436.0,543.0
sound,-1.5551728413329895,196.0,256.0
locally,-1.5466271090145163,18.0,32.0
toddler,-1.537178193796938,35.0,55.0
lodging,-1.5363450070078333,32.0,51.0
shannon's,-1.530777593084499,0.0,74.0
frequent,-1.5271512491851424,21.0,36.0
choice,-1.5258516663895236,162.0,214.0
years,-1.5216562091113368,70.0,100.0
hands,-1.5188972017267264,42.0,64.0
written,-1.5083999522961966,36.0,56.0
keeps,-1.5082553953677842,27.0,44.0
considered,-1.5062841233802975,14.0,26.0
resources,-1.5062841233802975,14.0,26.0
nature,-1.5054813307987507,30.0,48.0
thrilled,-1.5014597858634426,19.0,33.0
vegan,-1.5014597858634426,19.0,33.0
explore,-1.4891864703934237,351.0,440.0
discover,-1.4865746528283892,22.0,37.0
certain,-1.4865746528283892,22.0,37.0
essentials,-1.484871952834694,100.0,137.0
meal,-1.4831237452981487,96.0,132.0
prepare,-1.4782744218397808,47.0,70.0
attended,-1.4780458570690438,25.0,41.0
extensive,-1.476746986333677,17.0,30.0
joe's,-1.4689016140964937,44.0,66.0
heading,-1.4689016140964937,44.0,66.0
debbie's,-1.4674046699093757,0.0,68.0
mention,-1.4670151639789546,114.0,154.0
roomy,-1.4527138794475811,94.0,129.0
treated,-1.447646979058153,23.0,38.0
creative,-1.4412057362158401,29.0,46.0
kerry's,-1.423589895268053,0.0,64.0
sandy's,-1.423589895268053,0.0,64.0
help,-1.422971639286715,439.0,542.0
umbrella,-1.4080468166453897,27.0,43.0
cares,-1.4037884489871453,16.0,28.0
what's,-1.4037884489871453,16.0,28.0
needed,-1.3990107486077363,2285.0,2679.0
popular,-1.3862305367763303,44.0,65.0
navigate,-1.3759876134039741,59.0,84.0
feeling,-1.3747401907109358,126.0,167.0
eye,-1.3742893952098263,25.0,40.0
allowing,-1.3723773274915274,63.0,89.0
furnishings,-1.369639676537729,79.0,109.0
offered,-1.3551415801864444,319.0,398.0
partner,-1.35205114928099,72.0,100.0
accomodations,-1.3449460766301846,20.0,33.0
respected,-1.339659785290653,26.0,41.0
unexpected,-1.3390938842995006,39.0,58.0
scooter's,-1.3316431567878768,0.0,56.0
directions,-1.3167312432458247,266.0,334.0
opportunity,-1.3156876167314941,104.0,139.0
they're,-1.3137788650711404,40.0,59.0
camping,-1.3120278827653107,18.0,30.0
facing,-1.3120278827653107,18.0,30.0
sushi,-1.3120278827653107,18.0,30.0
