term,z,n_lower,n_upper
cause,2.5177251767029425,27.0,13.0
general,2.5210861273644616,98.0,75.0
dry,2.5347081084419383,36.0,20.0
quirky,2.545385297128727,62.0,42.0
suggest,2.547672432086142,108.0,84.0
calls,2.5617801043587733,35.0,19.0
concerns,2.56821696881035,90.0,67.0
messaged,2.5684328436680004,30.0,15.0
mariners,2.5684328436680004,30.0,15.0
leaving,2.5778114748296197,169.0,142.0
happened,2.5866073599151775,67.0,46.0
prepared,2.5887846452815646,217.0,189.0
buy,2.5902197999737213,76.0,54.0
washing,2.60878482207985,74.0,52.0
discovery,2.60878482207985,74.0,52.0
rustic,2.6407968630961705,28.0,13.0
asking,2.6687075954653605,47.0,28.0
carry,2.673704218429004,36.0,19.0
cooler,2.673704218429004,36.0,19.0
shoes,2.676219802103772,41.0,23.0
handle,2.6865760149843423,31.0,15.0
adult,2.6865760149843423,31.0,15.0
desk,2.6893303559460184,96.0,71.0
rate,2.695873286396082,66.0,44.0
polite,2.700545540511723,74.0,51.0
spa,2.7030195250863467,58.0,37.0
concern,2.709230194127241,51.0,31.0
self,2.7214216878513784,64.0,42.0
limited,2.7214216878513784,64.0,42.0
stations,2.7224695593540655,30.0,14.0
purpose,2.7224695593540655,30.0,14.0
going,2.7239093553555183,626.0,604.0
straight,2.735235985770102,101.0,75.0
children,2.7406565048774594,148.0,119.0
saw,2.7452482375426497,171.0,141.0
sensitive,2.747366574433041,49.0,29.0
changed,2.74875558369121,62.0,40.0
cab,2.7576836221531087,110.0,83.0
regarding,2.7632144210970226,109.0,82.0
squeaky,2.7671570474902043,33.0,16.0
arrange,2.7671570474902043,33.0,16.0
clothes,2.7805893582603383,106.0,79.0
basically,2.781847440811379,84.0,59.0
heavy,2.7888079002653647,47.0,27.0
directly,2.794619852150194,132.0,103.0
blocks,2.7963225853383014,730.0,710.0
hand,2.7986137559604236,131.0,102.0
checkout,2.822790738039587,89.0,63.0
point,2.8235472861480373,189.0,157.0
unless,2.8240276069490546,51.0,30.0
bringing,2.8240276069490546,51.0,30.0
promptly,2.8269674663757796,187.0,155.0
dog,2.829200066537957,373.0,340.0
feedback,2.8330593413435903,40.0,21.0
pots,2.8401496989664423,87.0,61.0
water,2.8431318090128075,726.0,704.0
twice,2.858441440101273,85.0,59.0
hardly,2.8795982200112418,54.0,32.0
relatively,2.887770301288861,82.0,56.0
challenging,2.890715702464847,38.0,19.0
stand,2.8988283601196754,53.0,31.0
large,2.9075951729681453,556.0,525.0
satisfied,2.9102031045741676,72.0,47.0
moved,2.9102031045741676,72.0,47.0
football,2.9142436220176893,33.0,15.0
inconvenience,2.9142436220176893,33.0,15.0
double,2.9363021438645296,70.0,45.0
facility,2.9513119800894048,32.0,14.0
texts,2.954497109979062,84.0,57.0
adults,2.9565204289557885,126.0,95.0
suited,2.9622314357708057,92.0,64.0
apartments,2.964041708282874,68.0,43.0
disappointed,2.9660014406684283,112.0,82.0
blankets,2.9669924420242406,124.0,93.0
woke,2.9712221340475335,61.0,37.0
pull,2.980571138276038,90.0,62.0
fast,2.9868658465561446,218.0,182.0
flights,2.9882680957393855,35.0,16.0
noticed,2.9883286240840152,60.0,36.0
comfortably,2.988845416403899,166.0,132.0
safety,2.990236619931418,31.0,13.0
emily's,2.990236619931418,31.0,13.0
company,2.992831440675056,108.0,78.0
figure,2.99355969556744,66.0,41.0
mattresses,2.9959685062281967,39.0,19.0
chair,3.021491554674066,78.0,51.0
sufficient,3.0240186353913283,34.0,15.0
portable,3.0240186353913283,34.0,15.0
answered,3.0635195978714265,234.0,196.0
site,3.071807474323899,130.0,97.0
let,3.08291197681178,508.0,470.0
blinds,3.0951121629995977,36.0,16.0
initially,3.0951121629995977,36.0,16.0
don't,3.0969140408591525,568.0,531.0
netflix,3.0973032534701948,138.0,104.0
beware,3.1006524766033077,32.0,13.0
pans,3.1173849460577583,85.0,56.0
funky,3.1173849460577583,85.0,56.0
pleasant,3.1262914771709,637.0,601.0
replied,3.1263708924546565,53.0,29.0
blanket,3.139284803811209,43.0,21.0
properties,3.1415235167209437,31.0,12.0
reviews,3.158572911971491,186.0,148.0
towels,3.1620021633286783,646.0,609.0
student,3.164687503501979,38.0,17.0
pikes,3.1681978250899245,137.0,102.0
requested,3.1805226666202846,46.0,23.0
baseball,3.183981095698044,30.0,11.0
tried,3.1876010174618084,112.0,79.0
dishwasher,3.194823463882779,66.0,39.0
suitable,3.19961514340639,37.0,16.0
appeared,3.200351853754853,41.0,19.0
that's,3.205489462779822,210.0,170.0
computer,3.2085494588211527,45.0,22.0
managed,3.211949203695609,71.0,43.0
reservation,3.2134092619629864,169.0,131.0
bathroom,3.216881623163265,1660.0,1674.0
described,3.219953237851591,1097.0,1077.0
enter,3.230259942411852,64.0,37.0
able,3.2322070630364887,1089.0,1068.0
apparently,3.2360223947658766,36.0,15.0
buildings,3.2360223947658766,36.0,15.0
worth,3.2374004034302595,197.0,157.0
connect,3.2377126561893372,44.0,21.0
pike's,3.2395009468198745,178.0,139.0
drop,3.251594284124951,134.0,98.0
checkin,3.261008953113476,68.0,40.0
sports,3.266662613709881,39.0,17.0
drawback,3.266662613709881,39.0,17.0
cars,3.2962346994624916,66.0,38.0
generally,3.2962346994624916,66.0,38.0
okay,3.296311244164347,78.0,48.0
stadium,3.2996247936334777,42.0,19.0
centrally,3.304989106240475,235.0,192.0
feet,3.3092283606983117,71.0,42.0
slept,3.3200112051742554,354.0,308.0
fit,3.3250714234037058,204.0,162.0
housemates,3.33452294199487,30.0,10.0
tidy,3.3570826622120817,296.0,250.0
straightforward,3.3665606149919474,40.0,17.0
different,3.3809267148076696,246.0,201.0
garage,3.3847640787651896,185.0,143.0
warned,3.3956657799758263,32.0,11.0
understand,3.397015570485018,56.0,29.0
nightlife,3.415311380015293,96.0,62.0
underground,3.4156410624280578,35.0,13.0
bathrooms,3.420473185813578,129.0,91.0
near,3.425368125752702,738.0,694.0
allowed,3.426717045121532,247.0,201.0
alley,3.4375526828251597,64.0,35.0
business,3.4543496206815467,214.0,169.0
term,3.4614437422164666,68.0,38.0
connection,3.462717376255316,92.0,58.0
event,3.4683040212353737,85.0,52.0
heater,3.4747179506532615,141.0,101.0
noises,3.4765684213595347,37.0,14.0
listed,3.490113225389072,120.0,82.0
roll,3.497292458559167,33.0,11.0
actual,3.500477090428011,66.0,36.0
expecting,3.5093047779706303,56.0,28.0
residents,3.5156199129951915,36.0,13.0
central,3.5407712313996127,375.0,323.0
looking,3.541404284951775,909.0,866.0
missing,3.5418769301317,64.0,34.0
negative,3.542546666543015,86.0,52.0
units,3.5541683817762784,46.0,20.0
avenue,3.55466665769892,50.0,23.0
broadway,3.5571437936636223,105.0,68.0
later,3.55812863448694,214.0,167.0
follow,3.573948924365709,90.0,55.0
wouldn't,3.5911832880148893,204.0,157.0
district,3.5915922647812004,314.0,262.0
constant,3.596001612598861,41.0,16.0
busy,3.6071924333013556,302.0,250.0
impossible,3.6132725424181964,37.0,13.0
i'd,3.6246626492885063,450.0,395.0
toaster,3.644524443078249,51.0,23.0
listing,3.6461466553873727,665.0,611.0
seatac,3.648412871983524,55.0,26.0
minutes,3.651004491219592,900.0,852.0
messages,3.6517047291547358,176.0,130.0
purposes,3.652818812988569,36.0,12.0
jennifer's,3.6545416548169944,43.0,17.0
sort,3.6569250743487625,59.0,29.0
turned,3.659172221222888,110.0,71.0
instead,3.6717185192394575,124.0,83.0
heat,3.671804699115557,172.0,126.0
properly,3.6774133959622533,32.0,9.0
unable,3.678766549812262,46.0,19.0
pine,3.686236673934331,77.0,43.0
vintage,3.6919198580474735,107.0,68.0
prompt,3.710223318827777,231.0,180.0
bothered,3.7326439098926603,34.0,10.0
security,3.7329946546002017,52.0,23.0
website,3.7399495032439796,141.0,97.0
needle,3.7519684299321128,517.0,458.0
hard,3.7653347975142006,246.0,193.0
money,3.769432996508381,129.0,86.0
request,3.7766484470088173,164.0,117.0
trying,3.782076000136414,106.0,66.0
towel,3.7850279809121594,82.0,46.0
paid,3.787217525820674,67.0,34.0
right,3.8052016113678837,1620.0,1597.0
dogs,3.818245724360794,189.0,139.0
slight,3.818665635278197,42.0,15.0
conference,3.8221564264627963,177.0,128.0
told,3.82310312932851,188.0,138.0
smoothly,3.8448308226377996,114.0,72.0
doesn't,3.8561433337592805,135.0,90.0
owner,3.8626067113934015,151.0,104.0
bar,3.875097785264827,297.0,239.0
supposed,3.8787297401301952,37.0,11.0
stated,3.880217347376729,72.0,37.0
friday,3.8812811115006958,51.0,21.0
safeco,3.8812811115006958,51.0,21.0
required,3.881580576126542,63.0,30.0
received,3.8857169465823302,98.0,58.0
host's,3.8919642649451553,47.0,18.0
bathtub,3.894852671784266,81.0,44.0
somewhat,3.901635063024561,71.0,36.0
access,3.942901061680088,1185.0,1134.0
hold,3.946179094096733,69.0,34.0
reasonably,3.9595247334063157,60.0,27.0
bed,3.9733566423316984,2666.0,2697.0
merchants,3.9773428478482056,48.0,1.0
eventually,3.98520287994262,34.0,8.0
aren't,3.9931105579962174,67.0,32.0
basics,4.005525720262733,85.0,46.0
ear,4.014245627908023,62.0,28.0
roommates,4.0335269969601715,43.0,14.0
anna's,4.0335269969601715,43.0,14.0
there's,4.036777299605808,375.0,310.0
strange,4.039266171018994,36.0,9.0
contact,4.047934947182452,298.0,236.0
artsy,4.051984930153799,53.0,21.0
ceilings,4.056118796558768,73.0,36.0
complaints,4.059562371132356,109.0,65.0
turn,4.080694133694585,81.0,42.0
columbia,4.090262733910828,172.0,119.0
complain,4.091160156931499,38.0,10.0
curtains,4.0994295427430165,48.0,17.0
bartender,4.1038312877035095,54.0,1.0
clear,4.109724066799602,409.0,341.0
walk,4.1196214547892644,2513.0,2523.0
communication,4.13208582896962,732.0,661.0
proximity,4.142694985121029,202.0,145.0
ended,4.17664685442679,177.0,122.0
capital,4.181754563360161,205.0,147.0
noted,4.186305545140141,56.0,22.0
reviewers,4.217448405146959,55.0,21.0
hallway,4.217448405146959,55.0,21.0
major,4.2257412867733555,207.0,148.0
minimal,4.236758312145575,58.0,23.0
biggest,4.239362349136868,44.0,13.0
budget,4.257554234210289,61.0,25.0
maintenance,4.257782585685274,40.0,10.0
sheet,4.28672003109382,60.0,24.0
team,4.287209962743227,46.0,14.0
doors,4.290603897658659,104.0,58.0
cold,4.296916530259964,214.0,153.0
awkward,4.328954453882597,37.0,7.0
smells,4.334141371831018,36.0,6.0
appartment,4.349093912452813,86.0,43.0
store,4.3539248407155515,419.0,344.0
description,4.376563568598726,403.0,328.0
complaint,4.390139095801147,84.0,41.0
south,4.406154175617576,107.0,59.0
located,4.415915057442485,1580.0,1520.0
artists,4.416905676058663,43.0,2.0
weird,4.416942870579281,42.0,10.0
fault,4.425549323778019,59.0,22.0
locked,4.425549323778019,59.0,22.0
garbage,4.434689949514877,45.0,12.0
minute,4.438131924958928,916.0,835.0
paying,4.441515092840357,55.0,19.0
condo,4.447416774073681,459.0,380.0
safeway,4.455365922168682,99.0,52.0
guess,4.487828895341073,57.0,20.0
curtain,4.493919309985182,43.0,10.0
ron's,4.493919309985182,43.0,10.0
stuff,4.494669298282835,217.0,152.0
futon,4.5351528131723,109.0,59.0
plugs,4.5374182784525825,66.0,26.0
historic,4.541455765361782,119.0,67.0
actually,4.545105050407362,355.0,278.0
melrose,4.550297987808754,47.0,2.0
situation,4.570163737226953,102.0,53.0
resolved,4.606518217434175,40.0,6.0
amtrak,4.606518217434175,40.0,6.0
called,4.622861297948826,160.0,100.0
smooth,4.636475853766647,187.0,123.0
sketchy,4.6368672550426515,40.0,5.0
option,4.636869641066932,134.0,78.0
pressure,4.636869641066932,134.0,78.0
password,4.664215759028,48.0,12.0
text,4.664722406481682,299.0,223.0
priced,4.676103355196175,72.0,29.0
international,4.691029568326656,87.0,40.0
game,4.7042645487416594,140.0,82.0
expensive,4.713112453090456,82.0,36.0
responded,4.721213458700992,335.0,255.0
smaller,4.736998929971108,81.0,35.0
inconvenient,4.752618214645501,42.0,5.0
fee,4.766088523262003,55.0,16.0
living,4.768110028474859,770.0,675.0
robert's,4.7884965772767245,46.0,3.0
stuffy,4.808464911364413,43.0,5.0
used,4.83148947345458,482.0,391.0
light,4.840451404108581,893.0,795.0
cafe,4.885674201703638,223.0,150.0
reasonable,4.923679078191056,119.0,62.0
rebecca's,4.924706951365243,81.0,33.0
highway,4.93660703565907,123.0,65.0
bring,4.9469847361692905,214.0,141.0
parking,4.951175028580897,1892.0,1813.0
neighbors,4.957659940624425,142.0,80.0
musty,4.968592053578559,46.0,5.0
adam's,4.968592053578559,46.0,5.0
overnight,4.973488089168027,107.0,52.0
field,4.987540337953839,68.0,23.0
bunk,5.02478355936064,47.0,6.0
starbucks,5.027476359851346,100.0,46.0
upstairs,5.048087961792247,304.0,219.0
advertised,5.053259574462249,389.0,297.0
fixed,5.055382793649715,76.0,28.0
market,5.057491161068402,938.0,831.0
given,5.078929384375719,226.0,149.0
liked,5.07938234279028,318.0,231.0
rooms,5.081058520168385,379.0,287.0
luggage,5.08197308755395,218.0,142.0
club,5.095372919219898,50.0,4.0
responsive,5.10496313763811,969.0,860.0
basement,5.112480499064418,426.0,330.0
minor,5.113806643566716,104.0,48.0
smoke,5.118661965015658,49.0,5.0
fix,5.126274492257311,70.0,23.0
roku,5.130613177156539,56.0,13.0
pay,5.141251200678495,111.0,53.0
college,5.154843137289632,69.0,22.0
use,5.155976182708903,1048.0,937.0
slightly,5.1780880261256135,75.0,26.0
sink,5.1967441693264815,104.0,47.0
middle,5.206872264264899,209.0,132.0
rules,5.221439902914729,111.0,52.0
cleaner,5.222649774821964,70.0,22.0
expect,5.223398017435051,207.0,130.0
carpet,5.23944350627237,59.0,14.0
blair's,5.259845246804785,52.0,5.0
trouble,5.27876903647156,182.0,108.0
service,5.300494700171964,225.0,144.0
conditioning,5.303192230213733,99.0,42.0
couch,5.309271550035727,270.0,183.0
bother,5.310208578196612,137.0,71.0
luckily,5.321070917448736,63.0,16.0
earplugs,5.32414602934161,87.0,33.0
steep,5.341279983215905,109.0,49.0
fair,5.349386215976412,86.0,32.0
ceiling,5.361524963535716,108.0,48.0
balcony,5.380170286234509,215.0,134.0
closed,5.38207277195331,107.0,47.0
freeway,5.40178076609216,155.0,84.0
shared,5.408666642151105,295.0,203.0
stadiums,5.431657752368477,62.0,14.0
box,5.445427160289006,133.0,66.0
apt,5.447576903755647,388.0,286.0
dark,5.449816286567947,124.0,59.0
mind,5.4528544950495,213.0,131.0
roommate,5.479587633933291,81.0,27.0
instructions,5.500408294627236,543.0,429.0
paper,5.528374528705778,104.0,43.0
quick,5.538337276088089,1034.0,906.0
elevator,5.539516703055503,59.0,10.0
shower,5.5530735245837874,714.0,591.0
probably,5.566147389089537,253.0,163.0
outside,5.587109609018072,549.0,432.0
notice,5.589282979172083,156.0,82.0
street,5.5971626962973335,1546.0,1419.0
affordable,5.607087209228745,150.0,77.0
response,5.620186555914409,123.0,56.0
respond,5.634185576973628,340.0,238.0
accurate,5.668263444901974,427.0,316.0
tenants,5.68984128186866,65.0,13.0
maybe,5.692359742215066,163.0,86.0
slow,5.706211279267149,63.0,11.0
big,5.713407819712615,647.0,521.0
process,5.7210335069938525,349.0,244.0
flexible,5.726925081403705,457.0,342.0
tricky,5.756083249318104,84.0,26.0
needs,5.760387051006552,656.0,528.0
pros,5.775155021124932,69.0,15.0
early,5.792052357795219,595.0,469.0
hour,5.79786821190012,218.0,129.0
walls,5.819938375962333,113.0,46.0
waterfront,5.828215912982338,198.0,112.0
quickly,5.83224251710463,497.0,376.0
